ID,Type,Severity,Category,Component,File,Line,Message,Fixable
TS-1754430292163-7smn0cw0j,TypeScript Error,CRITICAL,COMPILATION,components/YamlConfig,src/components/YamlConfig/YamlGenerator.tsx,24,"Property 'validation' does not exist on type 'GenerationResponse'.",Yes
TS-1754430292163-79zvmj0ku,TypeScript Error,CRITICAL,COMPILATION,hooks,src/hooks/useAIPreferences.ts,78,"Argument of type '{ totalActions: number; sessionDuration: number; featureUsage: Record<string, number>; lastAction: string; timestamp: Date; frequentActions: string[]; } | { lastAction: string; timestamp: Date; frequentActions: never[]; }' is not assignable to parameter of type 'UserActivity'.",Yes
TS-1754430292163-nzxdd1vi9,TypeScript Error,CRITICAL,COMPILATION,hooks,src/hooks/useAISettings.ts,8,"Property 'updateSettings' does not exist on type 'unknown'.",Yes
TS-1754430292163-oc4xijsoq,TypeScript Error,LOW,COMPILATION,hooks,src/hooks/useCostTracking.ts,75,"Expected 1 arguments, but got 0.",Yes
TS-1754430292163-4lo4lflid,TypeScript Error,LOW,COMPILATION,hooks,src/hooks/useHistoricalData.ts,127,"No overload matches this call.",Yes
TS-1754430292163-xe6zygq0t,TypeScript Error,LOW,COMPILATION,hooks,src/hooks/useMultiClaude.ts,30,"Expected 1 arguments, but got 0.",Yes
TS-1754430292163-3cqhgbb9e,TypeScript Error,LOW,COMPILATION,hooks,src/hooks/useOrchestration.ts,66,"Expected 3 arguments, but got 2.",Yes
TS-1754430292163-istjfdhr3,TypeScript Error,HIGH,COMPILATION,hooks,src/hooks/useOrchestration.ts,94,"Type 'string' is not assignable to type 'Date'.",Yes
TS-1754430292163-isjej95re,TypeScript Error,LOW,COMPILATION,hooks,src/hooks/useOrchestration.ts,204,"Expected 1 arguments, but got 2.",Yes
TS-1754430292163-l3he9x0et,TypeScript Error,CRITICAL,COMPILATION,hooks,src/hooks/usePermissions.ts,31,"Argument of type 'User | null' is not assignable to parameter of type 'AuthUser | null'.",Yes
TS-1754430292163-jnv2803o4,TypeScript Error,HIGH,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,68,"Object literal may only specify known properties, and 'autoPauseOnClose' does not exist in type 'FarmSetupRequest'.",Yes
TS-1754430292163-xm2es1hxu,TypeScript Error,HIGH,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,86,"Object literal may only specify known properties, and 'autoPauseOnClose' does not exist in type 'FarmSetupRequest'.",Yes
TS-1754430292163-f1l89nif4,TypeScript Error,CRITICAL,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,104,"Argument of type '{ name: string; templateId: string; }' is not assignable to parameter of type 'FarmSetupRequest'.",Yes
TS-1754430292163-jh7vlq8o7,TypeScript Error,CRITICAL,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,123,"Argument of type '{ name: string; templateId: string; }' is not assignable to parameter of type 'FarmSetupRequest'.",Yes
TS-1754430292163-11h4cy5tx,TypeScript Error,HIGH,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,150,"Object literal may only specify known properties, and 'autoPauseOnClose' does not exist in type 'FarmSetupRequest'.",Yes
TS-1754430292163-xdffu6ejh,TypeScript Error,HIGH,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,288,"Object literal may only specify known properties, and 'autoPauseOnClose' does not exist in type 'FarmSetupRequest'.",Yes
TS-1754430292163-ru60qermd,TypeScript Error,HIGH,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,294,"Object literal may only specify known properties, and 'autoPauseOnClose' does not exist in type 'FarmSetupRequest'.",Yes
TS-1754430292163-rsrr1gbtu,TypeScript Error,HIGH,COMPILATION,services/__tests__,src/services/__tests__/autoPause.test.ts,311,"Object literal may only specify known properties, and 'autoPauseOnClose' does not exist in type 'FarmSetupRequest'.",Yes
TS-1754430292163-cxy25psc9,TypeScript Error,LOW,COMPILATION,services,src/services/agentLifecycle.ts,296,"Type '{ allocated: { cpu: number; memory: number; disk?: number | undefined; }; used: { cpu: number; memory: number; disk: number; }; limits: { cpu: number; memory: number; disk?: number | undefined; }; }' is missing the following properties from type 'AgentResources': cpu, memory",Yes
TS-1754430292163-4j8jjxhb3,TypeScript Error,LOW,COMPILATION,services,src/services/agentLifecycle.ts,439,"The left-hand side of an arithmetic operation must be of type 'any', 'number', 'bigint' or an enum type.",Yes
TS-1754430292163-h5mi7dsk9,TypeScript Error,HIGH,COMPILATION,services,src/services/agentService.ts,56,"Type 'number' is not assignable to type 'string'.",Yes
TS-1754430292163-2zm6yurk2,TypeScript Error,HIGH,COMPILATION,services,src/services/agentService.ts,89,"Type 'number' is not assignable to type 'string'.",Yes
TS-1754430292163-ihir71b4e,TypeScript Error,LOW,COMPILATION,services,src/services/aiSettingsService.ts,261,"An object literal cannot have multiple properties with the same name.",Yes
TS-1754430292163-vdq9tcjs7,TypeScript Error,HIGH,COMPILATION,services,src/services/aiSettingsService.ts,333,"Type '{ bundleNotifications: true; enabled?: boolean | undefined; sound?: boolean | undefined; desktop?: boolean | undefined; email?: EmailNotificationSettings | undefined; triggers?: NotificationTriggers | undefined; }' is not assignable to type 'NotificationSettings'.",Yes
TS-1754430292163-ko79kziqh,TypeScript Error,LOW,COMPILATION,services,src/services/analyticsRealtime.ts,1,"Module '""./apiClient""' has no exported member 'apiClient'. Did you mean to use 'import apiClient from ""./apiClient""' instead?",Yes
TS-1754430292163-ur6t4l7d4,TypeScript Error,LOW,COMPILATION,services,src/services/apiIntegration.ts,136,"Type 'Record<string, any>' is missing the following properties from type 'ExternalApiConfig': id, name, type, endpoint, authentication",Yes
TS-1754430292163-bync42m7z,TypeScript Error,CRITICAL,COMPILATION,services,src/services/apiIntegration.ts,215,"Property 'retryWithPolicy' does not exist on type 'FaultTolerance'.",Yes
TS-1754430292163-2dey6fcir,TypeScript Error,CRITICAL,COMPILATION,services,src/services/apiIntegration.ts,249,"Property 'message' does not exist on type '{}'.",Yes
TS-1754430292163-ns2zquw2u,TypeScript Error,CRITICAL,COMPILATION,services,src/services/apiIntegration.ts,257,"Property 'message' does not exist on type '{}'.",Yes
TS-1754430292163-jq4bfzsaz,TypeScript Error,CRITICAL,COMPILATION,services,src/services/apiIntegration.ts,348,"Property 'baseUrl' does not exist on type 'ExternalApiConfig'.",Yes
TS-1754430292163-5jq8y92c4,TypeScript Error,CRITICAL,COMPILATION,services,src/services/apiIntegration.ts,468,"Property 'url' does not exist on type 'ExternalApiConfig'.",Yes
TS-1754430292163-gi2bxnwh1,TypeScript Error,HIGH,COMPILATION,services,src/services/authService.ts,80,"Type 'string[] | Permission[]' is not assignable to type 'Permission[]'.",Yes
TS-1754430292163-0fnqybyni,TypeScript Error,HIGH,COMPILATION,services,src/services/autonomousAgent.ts,41,"Object literal may only specify known properties, and 'startTime' does not exist in type '{ nodes: ExplorationNode[]; edges: ExplorationEdge[]; discoveries: Discovery[]; currentNodeId: string | null; }'.",Yes
TS-1754430292163-fwg2d79m3,TypeScript Error,MEDIUM,COMPILATION,services,src/services/creativityAnalyzer.ts,182,"Element implicitly has an 'any' type because expression of type 'any' can't be used to index type '{ feature: number; optimization: number; refactor: number; experiment: number; research: number; }'.",Yes
TS-1754430292163-dv6s39mce,TypeScript Error,HIGH,COMPILATION,services,src/services/encryption.ts,5,"Type '""AES-GCM""' is not assignable to type '""AES-256-GCM"" | ""AES-256-CBC""'.",Yes
TS-1754430292163-rz5ocvnjf,TypeScript Error,CRITICAL,COMPILATION,services,src/services/encryption.ts,32,"Property 'keyLength' does not exist on type 'EncryptionConfig'.",Yes
TS-1754430292163-w4dbcjvmy,TypeScript Error,CRITICAL,COMPILATION,services,src/services/encryption.ts,40,"Property 'ivLength' does not exist on type 'EncryptionConfig'.",Yes
TS-1754430292163-cz57xrym4,TypeScript Error,LOW,COMPILATION,services,src/services/encryption.ts,56,"Type '{ ciphertext: string; iv: string; salt: string; tag: string; }' is missing the following properties from type 'EncryptedData': data, algorithm, timestamp",Yes
TS-1754430292163-gfi9s7fx9,TypeScript Error,CRITICAL,COMPILATION,services,src/services/encryption.ts,67,"Argument of type 'string | undefined' is not assignable to parameter of type 'string'.",Yes
TS-1754430292163-lhsz13432,TypeScript Error,CRITICAL,COMPILATION,services,src/services/encryption.ts,68,"Argument of type 'string | undefined' is not assignable to parameter of type 'string'.",Yes
TS-1754430292163-om4642hpm,TypeScript Error,CRITICAL,COMPILATION,services,src/services/encryption.ts,70,"Argument of type 'ArrayBuffer' is not assignable to parameter of type 'Uint8Array<ArrayBufferLike>'.",Yes
TS-1754430292163-sescfom9r,TypeScript Error,HIGH,COMPILATION,services/encryption,src/services/encryption/cryptoWorker.ts,251,"Object literal may only specify known properties, and 'iv' does not exist in type 'Algorithm'.",Yes
TS-1754430292163-wzfim3hie,TypeScript Error,HIGH,COMPILATION,services/encryption,src/services/encryption/cryptoWorker.ts,297,"Object literal may only specify known properties, and 'iv' does not exist in type 'Algorithm'.",Yes
TS-1754430292163-59ono7k1c,TypeScript Error,LOW,COMPILATION,services,src/services/explorationEngine.ts,91,"Expected 2 arguments, but got 1.",Yes
TS-1754430292163-26bznh2sj,TypeScript Error,LOW,COMPILATION,services,src/services/explorationEngine.ts,124,"Expected 2 arguments, but got 1.",Yes
TS-1754430292163-e7bwada8d,TypeScript Error,LOW,COMPILATION,services,src/services/explorationEngine.ts,446,"Expected 2 arguments, but got 1.",Yes
TS-1754430292163-gxa6d0j4a,TypeScript Error,LOW,COMPILATION,services,src/services/explorationEngine.ts,455,"Expected 2 arguments, but got 1.",Yes
TS-1754430292163-kbvx7i0b8,TypeScript Error,LOW,COMPILATION,services,src/services/explorationEngine.ts,466,"Expected 2 arguments, but got 1.",Yes
TS-1754430292163-z06fuo255,TypeScript Error,LOW,COMPILATION,services,src/services/explorationEngine.ts,477,"Expected 2 arguments, but got 1.",Yes
TS-1754430292163-d56d3i6lv,TypeScript Error,HIGH,COMPILATION,services,src/services/explorationSnapshot.ts,55,"Object literal may only specify known properties, and 'compressedData' does not exist in type '{ id: string; name: string; description: string; agents: string[]; status: ""active"" | ""pending"" | ""inactive""; created: number; updated: number; config: any; }'.",Yes
TS-1754430292163-suoqcyoup,TypeScript Error,CRITICAL,COMPILATION,services,src/services/explorationSnapshot.ts,71,"Property 'compressedData' does not exist on type '{ id: string; name: string; description: string; agents: string[]; status: ""active"" | ""pending"" | ""inactive""; created: number; updated: number; config: any; }'.",Yes
TS-1754430292163-0bjjzjdhw,TypeScript Error,CRITICAL,COMPILATION,services,src/services/explorationSnapshot.ts,74,"Property 'metadata' does not exist on type '{ id: string; name: string; description: string; agents: string[]; status: ""active"" | ""pending"" | ""inactive""; created: number; updated: number; config: any; }'.",Yes
TS-1754430292163-hci876fbb,TypeScript Error,LOW,COMPILATION,services,src/services/explorationSnapshot.ts,78,"Type '{ state: any; id: string; name: string; description: string; agents: string[]; status: ""active"" | ""pending"" | ""inactive""; created: number; updated: number; config: any; }' is missing the following properties from type 'ExplorationSnapshot': sessionId, farmId, timestamp, type, metadata",Yes
TS-1754430292163-9k380eu0q,TypeScript Error,CRITICAL,COMPILATION,services,src/services/explorationSnapshot.ts,85,"Property 'snapshots' does not exist on type 'IndexedDBService'.",Yes
TS-1754430292163-3x95awa98,TypeScript Error,CRITICAL,COMPILATION,services,src/services/externalApiManager.ts,66,"Argument of type '{ type: string; payload: { apiId: string; state: CircuitBreakerState; }; }' is not assignable to parameter of type 'string | WebSocketMessage'.",Yes
TS-1754430292163-zpqq4vynw,TypeScript Error,CRITICAL,COMPILATION,services,src/services/externalApiManager.ts,121,"Property 'backoff' does not exist on type 'RetryPolicy'.",Yes
TS-1754430292163-rjxx6h1ke,TypeScript Error,CRITICAL,COMPILATION,services,src/services/externalApiManager.ts,137,"Argument of type '{ type: string; payload: { apiId: string; method: ""GET"" | ""DELETE"" | ""POST"" | ""PUT"" | ""PATCH""; path: string; duration: number; }; }' is not assignable to parameter of type 'string | WebSocketMessage'.",Yes
TS-1754430292163-6atld7hal,TypeScript Error,CRITICAL,COMPILATION,services,src/services/externalApiManager.ts,155,"Argument of type '{ type: string; payload: { apiId: string; method: ""GET"" | ""DELETE"" | ""POST"" | ""PUT"" | ""PATCH""; path: string; error: string; }; }' is not assignable to parameter of type 'string | WebSocketMessage'.",Yes
TS-1754430292163-xx4ckj9s4,TypeScript Error,CRITICAL,COMPILATION,services,src/services/externalApiManager.ts,206,"Argument of type '(config: AxiosRequestConfig<any>) => AxiosRequestConfig<any>' is not assignable to parameter of type '(value: InternalAxiosRequestConfig<any>) => InternalAxiosRequestConfig<any> | Promise<InternalAxiosRequestConfig<any>>'.",Yes
TS-1754430292163-4zdieacmq,TypeScript Error,LOW,COMPILATION,services,src/services/externalApiManager.ts,363,"This comparison appears to be unintentional because the types '""none"" | ""basic"" | ""oauth2"" | ""api_key"" | undefined' and '""webhook""' have no overlap.",Yes
TS-1754430292163-9uym68hwc,TypeScript Error,CRITICAL,COMPILATION,services,src/services/externalApiManager.ts,373,"Argument of type '{ type: string; payload: { apiId: string; headers: Record<string, string>; body: any; }; }' is not assignable to parameter of type 'string | WebSocketMessage'.",Yes
TS-1754430292163-1go29uq3u,TypeScript Error,CRITICAL,COMPILATION,services,src/services/farmOrchestrator.ts,60,"Argument of type 'FarmTemplate' is not assignable to parameter of type 'string'.",Yes
TS-1754430292163-gz7oo3fg0,TypeScript Error,LOW,COMPILATION,services,src/services/farmOrchestrator.ts,65,"Property 'owner' is missing in type '{ id: string; name: string; description: string; type: ""sequential"" | ""collaborative"" | ""autonomous""; status: ""active""; agents: never[]; createdAt: Date; updatedAt: Date; config: { ...; }; metrics: { ...; }; }' but required in type 'Farm'.",Yes
TS-1754430292163-fawjp1j80,TypeScript Error,LOW,COMPILATION,services,src/services/farmOrchestrator.ts,160,"Expected 0 arguments, but got 1.",Yes
TS-1754430292163-b5r04cihq,TypeScript Error,HIGH,COMPILATION,services,src/services/farmOrchestrator.ts,397,"Object literal may only specify known properties, and 'workflowId' does not exist in type 'FarmConfig'.",Yes
TS-1754430292163-75jmh30zb,TypeScript Error,HIGH,COMPILATION,services,src/services/faultTolerance.ts,337,"Type '({ name: string; status: ""healthy"" | ""unhealthy""; message: string | undefined; timestamp: Date; } | { name: string; status: string; message: string; timestamp: Date; })[]' is not assignable to type 'HealthCheckResult[]'.",Yes
TS-1754430292163-isi59bqh3,TypeScript Error,CRITICAL,COMPILATION,services,src/services/goWildSafety.ts,177,"Property 'warning' does not exist on type '{ (message: Message, opts?: Partial<Pick<Toast, ""style"" | ""id"" | ""className"" | ""position"" | ""duration"" | ""icon"" | ""ariaProps"" | ""iconTheme"" | ""removeDelay"">> | undefined): string; ... 6 more ...; promise<T>(promise: Promise<...> | (() => Promise<...>), msgs: { ...; }, opts?: DefaultToastOptions | undefined): Promise...'.",Yes
TS-1754430292163-dcx4k20pp,TypeScript Error,CRITICAL,COMPILATION,services,src/services/goWildSafety.ts,183,"Property 'warning' does not exist on type '{ (message: Message, opts?: Partial<Pick<Toast, ""style"" | ""id"" | ""className"" | ""position"" | ""duration"" | ""icon"" | ""ariaProps"" | ""iconTheme"" | ""removeDelay"">> | undefined): string; ... 6 more ...; promise<T>(promise: Promise<...> | (() => Promise<...>), msgs: { ...; }, opts?: DefaultToastOptions | undefined): Promise...'.",Yes
TS-1754430292163-k2ey8pri4,TypeScript Error,HIGH,COMPILATION,services,src/services/grafana.ts,168,"Object literal may only specify known properties, and 'from' does not exist in type 'TimeRange'.",Yes
TS-1754430292163-z5wmn6zxj,TypeScript Error,CRITICAL,COMPILATION,services,src/services/harvestService.ts,248,"Property 'emit' does not exist on type '{ on(event: string, handler: any): void; off(event: string, handler: any): void; socket: any; }'.",Yes
TS-1754430292163-h2jfattyl,TypeScript Error,CRITICAL,COMPILATION,services,src/services/harvestService.ts,252,"Property 'emit' does not exist on type '{ on(event: string, handler: any): void; off(event: string, handler: any): void; socket: any; }'.",Yes
TS-1754430292163-y9z7tunin,TypeScript Error,CRITICAL,COMPILATION,services,src/services/harvestService.ts,256,"Property 'emit' does not exist on type '{ on(event: string, handler: any): void; off(event: string, handler: any): void; socket: any; }'.",Yes
TS-1754430292163-k8vgf3p8b,TypeScript Error,CRITICAL,COMPILATION,services,src/services/harvestService.ts,264,"Property 'emit' does not exist on type '{ on(event: string, handler: any): void; off(event: string, handler: any): void; socket: any; }'.",Yes
TS-1754430292163-ue1qj2me5,TypeScript Error,HIGH,COMPILATION,services,src/services/metricsCollector.ts,170,"Object literal may only specify known properties, and 'timestamp' does not exist in type 'FarmMetrics & { farmId: string; }'.",Yes
TS-1754430292163-8v249c2mg,TypeScript Error,HIGH,COMPILATION,services,src/services/mockDataProvider.ts,65,"Object literal may only specify known properties, and 'name' does not exist in type 'FarmConfig'.",Yes
TS-1754430292163-7hjik7pxw,TypeScript Error,HIGH,COMPILATION,services,src/services/mockDataProvider.ts,100,"Object literal may only specify known properties, and 'createdAt' does not exist in type 'Agent'.",Yes
TS-1754430292163-k2cse2f0s,TypeScript Error,CRITICAL,COMPILATION,services,src/services/mockDataProvider.ts,231,"Property 'updatedAt' does not exist on type 'Agent'.",Yes
TS-1754430292163-djn4z0vy0,TypeScript Error,HIGH,COMPILATION,services,src/services/mockDataProvider.ts,276,"Object literal may only specify known properties, and 'name' does not exist in type 'FarmConfig'.",Yes
TS-1754430292163-sd6zjeo0d,TypeScript Error,LOW,COMPILATION,services/monitoring,src/services/monitoring/connectionMonitor.ts,2,"Module '""../apiClient""' has no exported member 'apiClient'. Did you mean to use 'import apiClient from ""../apiClient""' instead?",Yes
TS-1754430292163-w0y65n1ev,TypeScript Error,LOW,COMPILATION,services/monitoring,src/services/monitoring/logger.ts,307,"Export declaration conflicts with exported declaration of 'LogEntry'.",Yes
TS-1754430292163-jsjdo1e95,TypeScript Error,CRITICAL,COMPILATION,services,src/services/monitoringService.ts,331,"Property 'alerts' does not exist on type 'MonitoringData'.",Yes
TS-1754430292163-icyg4i1we,TypeScript Error,CRITICAL,COMPILATION,services,src/services/monitoringService.ts,331,"Property 'alerts' does not exist on type 'MonitoringData'.",Yes
TS-1754430292163-p0sh9fbrc,TypeScript Error,CRITICAL,COMPILATION,services,src/services/monitoringService.ts,332,"Property 'alerts' does not exist on type 'MonitoringData'.",Yes
TS-1754430292163-uh5xc9udy,TypeScript Error,LOW,COMPILATION,services,src/services/monitoringService.ts,350,"Property 'disk' is missing in type '{ cpu: number; memory: number; network: number; timestamp: Date; }' but required in type 'ResourceUsage'.",Yes
TS-1754430292163-799mz1iov,TypeScript Error,CRITICAL,COMPILATION,services,src/services/notificationService.ts,109,"Property 'getState' does not exist on type '() => { showToast: (message: string, type?: ToastType, options?: { duration?: number | undefined; action?: { label: string; onClick: () => void; } | undefined; } | undefined) => string; ... 5 more ...; clearAll: () => void; }'.",Yes
TS-1754430292163-hr0j6klz3,TypeScript Error,CRITICAL,COMPILATION,services/oauth,src/services/oauth/oauthService.ts,276,"Property 'encryptSync' does not exist on type 'EncryptionService'.",Yes
TS-1754430292163-d2uk9l4ye,TypeScript Error,CRITICAL,COMPILATION,services/oauth,src/services/oauth/oauthService.ts,285,"Property 'decryptSync' does not exist on type 'EncryptionService'.",Yes
TS-1754430292163-p7y2vtybx,TypeScript Error,CRITICAL,COMPILATION,services/oauth,src/services/oauth/oauthService.ts,297,"Property 'encryptSync' does not exist on type 'EncryptionService'.",Yes
TS-1754430292163-x37ktvy2x,TypeScript Error,CRITICAL,COMPILATION,services/oauth,src/services/oauth/oauthService.ts,306,"Property 'decryptSync' does not exist on type 'EncryptionService'.",Yes
TS-1754430292163-3rzn169lq,TypeScript Error,CRITICAL,COMPILATION,services,src/services/offline.ts,62,"Argument of type '""type""' is not assignable to parameter of type 'never'.",Yes
TS-1754430292163-k2jw9wjo2,TypeScript Error,CRITICAL,COMPILATION,services,src/services/offline.ts,63,"Argument of type '""timestamp""' is not assignable to parameter of type 'never'.",Yes
TS-1754430292163-w06e9itvd,TypeScript Error,CRITICAL,COMPILATION,services,src/services/offline.ts,69,"Argument of type '""expiry""' is not assignable to parameter of type 'never'.",Yes
TS-1754430292163-n2ikjna9u,TypeScript Error,CRITICAL,COMPILATION,services,src/services/offline.ts,144,"Property 'registration' does not exist on type 'Window & typeof globalThis'.",Yes
TS-1754430292163-yencb2ja5,TypeScript Error,CRITICAL,COMPILATION,services,src/services/offline.ts,145,"Property 'registration' does not exist on type 'Window & typeof globalThis'.",Yes
TS-1754430292163-o6fwjndyh,TypeScript Error,CRITICAL,COMPILATION,services,src/services/offline.ts,232,"Argument of type '""expiry""' is not assignable to parameter of type 'never'.",Yes
TS-1754430292163-zp9yupb2j,TypeScript Error,HIGH,COMPILATION,services/offline,src/services/offline/syncService.ts,116,"Type 'Date' is not assignable to type 'number'.",Yes
TS-1754430292163-kpxpb6323,TypeScript Error,HIGH,COMPILATION,services/offline,src/services/offline/syncService.ts,117,"Type 'Date' is not assignable to type 'number'.",Yes
TS-1754430292163-qh5xmsawx,TypeScript Error,CRITICAL,COMPILATION,services/offline,src/services/offline/syncService.ts,169,"Property 'updatedAt' does not exist on type 'Agent'.",Yes
TS-1754430292163-o7exh2ix8,TypeScript Error,CRITICAL,COMPILATION,services/offline,src/services/offline/syncService.ts,170,"Property 'updatedAt' does not exist on type 'Agent'.",Yes
TS-1754430292163-mlxuhwqzk,TypeScript Error,HIGH,COMPILATION,services/orchestration,src/services/orchestration/dependencyResolver.ts,209,"Type 'unknown' is not assignable to type 'string | undefined'.",Yes
TS-1754430292163-rz0g4wykj,TypeScript Error,CRITICAL,COMPILATION,services/orchestration,src/services/orchestration/dependencyResolver.ts,209,"Argument of type 'unknown' is not assignable to parameter of type 'string'.",Yes
TS-1754430292163-x6kw9gtyq,TypeScript Error,HIGH,COMPILATION,services/orchestration,src/services/orchestration/externalApiIntegration.ts,47,"Object literal may only specify known properties, and 'details' does not exist in type 'Omit<AuditLog, ""id"" | ""timestamp"">'.",Yes
TS-1754430292163-5397h6mmx,TypeScript Error,CRITICAL,COMPILATION,services/orchestration,src/services/orchestration/externalApiIntegration.ts,60,"Argument of type '{ action: string; resourceId: string; resource: string; userId: string; }' is not assignable to parameter of type 'Omit<AuditLog, ""id"" | ""timestamp"">'.",Yes
